character,voice-actor,movie,Award,image
Kanga,Kath Soucie,Pooh's Heffalump Movie,,./images/character/Kanga
Piglet,John Fiedler,Pooh's Heffalump Movie,,./images/character/Piglet
Rabbit,Ken Sansom,Pooh's Heffalump Movie,,./images/character/Rabbit
Tigger,Jim Cummings,Pooh's Heffalump Movie,,./images/character/Tigger
Auguste Gusteau,Brad Garrett,Ratatouille,,./images/character/Auguste Gusteau
Chef Skinner,Ian Holm,Ratatouille,,./images/character/Chef Skinner
Colette Tatou,Janeane Garofalo,Ratatouille,,./images/character/Colette Tatou
Alfredo Linguini,Lou Romano,Ratatouille,,./images/character/Alfredo Linguini
Remy,Patton Oswalt,Ratatouille,,./images/character/Remy
Danny,Andrew McDonough,Return to Never Land,,./images/character/Danny
Jane,Harriet Owen,Return to Never Land,,./images/character/Jane
Edward,Roger Rees,Return to Never Land,,./images/character/Edward
Peter Pan,Blayne Weaver,Return to Never Land,,./images/character/Peter Pan
Captain Hook,Corey Burton,Return to Never Land,,./images/character/Captain Hook
Mr Smee,Jeff Bennett,Return to Never Land,,./images/character/Mr Smee
Friar Tuck,Andy Devine,Robin Hood,,./images/character/Friar Tuck
Mother Rabbit,Barbara Luddy,Robin Hood,,./images/character/Mother Rabbit
Robin Hood,Brian Bedford,Robin Hood,,./images/character/Robin Hood
Lady Kluck,Carole Shelley,Robin Hood,,./images/character/Lady Kluck
Trigger the Vulture,George Lindsey,Robin Hood,,./images/character/Trigger the Vulture
Maid Marian,Monica Evans,Robin Hood,,./images/character/Maid Marian
Sheriff of Nottingham,Pat Buttram,Robin Hood,,./images/character/Sheriff of Nottingham
King Richard,Peter Ustinov,Robin Hood,1960:Actor in a Supporting Role:Spartacus;1964:Actor in a Supporting Role:Topkapi,./images/character/King Richard
Prince John,Peter Ustinov,Robin Hood,1960:Actor in a Supporting Role:Spartacus;1964:Actor in a Supporting Role:Topkapi,./images/character/Prince John
Little John,Phil Harris,Robin Hood,,./images/character/Little John
Sir Hiss,Terry-Thomas,Robin Hood,,./images/character/Sir Hiss
Donald Duck,Clarence Nash,Saludos Amigos,,./images/character/Donald Duck
Jose Carioca,Jose Oliveira,Saludos Amigos,,./images/character/Jose Carioca
Goofy Goof,Pinto Colvig,Saludos Amigos,,./images/character/Goofy Goof
Fauna,Barbara Jo Allen,Sleeping Beauty,,./images/character/Fauna
Merryweather,Barbara Luddy,Sleeping Beauty,,./images/character/Merryweather
Prince Phillip,Bill Shirley,Sleeping Beauty,,./images/character/Prince Phillip
King Hubert,Bill Thompson,Sleeping Beauty,,./images/character/King Hubert
Maleficent,Eleanor Audley,Sleeping Beauty,,./images/character/Maleficent
Aurora,Mary Costa,Sleeping Beauty,,./images/character/Aurora
King Stefan,Taylor Holmes,Sleeping Beauty,,./images/character/King Stefan
Flora,Verna Felton,Sleeping Beauty,,./images/character/Flora
Snow White,Adriana Caselotti,Snow White and the Seven Dwarfs,,./images/character/Snow White
Sneezy,Billy Gilbert,Snow White and the Seven Dwarfs,,./images/character/Sneezy
Dopey,Eddie Collins,Snow White and the Seven Dwarfs,,./images/character/Dopey
Prince,Harry Stockwell,Snow White and the Seven Dwarfs,,./images/character/Prince
The Evil Queen,Lucille La Verne,Snow White and the Seven Dwarfs,,./images/character/The Evil Queen
The Magic Mirror,Moroni Olsen,Snow White and the Seven Dwarfs,,./images/character/The Magic Mirror
Happy,Otis Harlan,Snow White and the Seven Dwarfs,,./images/character/Happy
Grumpy,Pinto Colvig,Snow White and the Seven Dwarfs,,./images/character/Grumpy
Sleepy,Pinto Colvig,Snow White and the Seven Dwarfs,,./images/character/Sleepy
Doc,Roy Atwell,Snow White and the Seven Dwarfs,,./images/character/Doc
Bashful,Scotty Mattraw,Snow White and the Seven Dwarfs,,./images/character/Bashful
Humbert the Huntsman,Stuart Buchanan,Snow White and the Seven Dwarfs,,./images/character/Humbert the Huntsman
Br'er Fox,James Baskett,Song of the South,1947:Special Award:Song of the South,./images/character/Br'er Fox
Br'er Rabbit,Johnny Lee,Song of the South,,./images/character/Br'er Rabbit
Br'er Bear,Nick Stewart,Song of the South,,./images/character/Br'er Bear
Mickey Mouse,Walt Disney,Steamboat Willie,1931/1932:Special Award:�??Mickey Mouse�?�;1938:Special Award:Snow White and the Seven Dwarfs;1941:Irving G. Thalberg Memorial Award:nan,./images/character/Mickey Mouse
Hook Hand,Brad Garrett,Tangled,,./images/character/Hook Hand
Mother Gothel,Donna Murphy,Tangled,,./images/character/Mother Gothel
Pascal,Frank Welker,Tangled,,./images/character/Pascal
Rapunzel,Mandy Moore,Tangled,,./images/character/Rapunzel
Stabbington Brothers,Ron Perlman,Tangled,,./images/character/Stabbington Brothers
Flynn Rider,Zachary Levi,Tangled,,./images/character/Flynn Rider
Big Nose,Jeffrey Tambor,Tangled,,./images/character/Big Nose
Clayton,Brian Blessed,Tarzan,,./images/character/Clayton
Kala,Glenn Close,Tarzan,,./images/character/Kala
Kerchak,Lance Henriksen,Tarzan,,./images/character/Kerchak
Jane Porter,Minnie Driver,Tarzan,,./images/character/Jane Porter
Archimedes Q Porter,Nigel Hawthorne,Tarzan,,./images/character/Archimedes Q Porter
Terk,Rosie O'Donnell,Tarzan,,./images/character/Terk
Tarzan,Tony Goldwyn,Tarzan,,./images/character/Tarzan
Tantor,Wayne Knight,Tarzan,,./images/character/Tantor
Angus MacBadger,Campbell Grant,The Adventures of Ichabod and Mr. Toad,,./images/character/Angus MacBadger
Ratty,Claud Allister,The Adventures of Ichabod and Mr. Toad,,./images/character/Ratty
Moley,Colin Campbell,The Adventures of Ichabod and Mr. Toad,,./images/character/Moley
J Thaddeus Toad,Eric Blore,The Adventures of Ichabod and Mr. Toad,,./images/character/J Thaddeus Toad
Cyril Proudbottom,J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad,,./images/character/Cyril Proudbottom
Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad,,./images/character/Ichabod Crane
Amelia Gabble,Carole Shelley,The Aristocats,,./images/character/Amelia Gabble
Berlioz,Dean Clark,The Aristocats,,./images/character/Berlioz
Duchess,Eva Gabor,The Aristocats,,./images/character/Duchess
Toulouse,Gary Dubin,The Aristocats,,./images/character/Toulouse
Lafayette the Basset Hound,George Lindsey,The Aristocats,,./images/character/Lafayette the Basset Hound
Abigail Gabble,Monica Evans,The Aristocats,,./images/character/Abigail Gabble
Thomas O'Malley,Phil Harris,The Aristocats,,./images/character/Thomas O'Malley
Edgar Balthazar the Butler,Roddy Maude-Roxby,The Aristocats,,./images/character/Edgar Balthazar the Butler
Scat Cat,Scatman Crothers,The Aristocats,,./images/character/Scat Cat
Roquefort the Mouse,Sterling Holloway,The Aristocats,,./images/character/Roquefort the Mouse
Orwen,Adele Malis-Morey,The Black Cauldron,,./images/character/Orwen
King Eiddileg,Arthur Malet,The Black Cauldron,,./images/character/King Eiddileg
Orgoch,Billie Hayes,The Black Cauldron,,./images/character/Orgoch
Orddu,Eda Reiss Merin,The Black Cauldron,,./images/character/Orddu
Dallben,Freddie Jones,The Black Cauldron,,./images/character/Dallben
Taran,Grant Bardsley,The Black Cauldron,,./images/character/Taran
Doli,John Byner,The Black Cauldron,,./images/character/Doli
Gurgi,John Byner,The Black Cauldron,,./images/character/Gurgi
The Horned King,John Hurt,The Black Cauldron,,./images/character/The Horned King
Fflewddur Fflam,Nigel Hawthorne,The Black Cauldron,,./images/character/Fflewddur Fflam
Creeper,Phil Fondacaro,The Black Cauldron,,./images/character/Creeper
Princess Eilonwy,Susan Sheridan,The Black Cauldron,,./images/character/Princess Eilonwy
Kuzco,David Spade,The Emperor's New Groove,,./images/character/Kuzco
Yzma,Eartha Kitt,The Emperor's New Groove,,./images/character/Yzma
Tipo,Eli Russell Linnetz,The Emperor's New Groove,,./images/character/Tipo
Pacha,John Goodman,The Emperor's New Groove,,./images/character/Pacha
Chaca,Kellyann Kelso,The Emperor's New Groove,,./images/character/Chaca
Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove,,./images/character/Kronk Pepikrankenitz
Chicha,Wendie Malick,The Emperor's New Groove,,./images/character/Chicha
Copper,Kurt Russell,The Fox and the Hound,,./images/character/Copper
Amos Slade,Jack Albertson,The Fox and the Hound,1968:Actor in a Supporting Role:The Subject Was Roses,./images/character/Amos Slade
Widow Tweed,Jeanette Nolan,The Fox and the Hound,,./images/character/Widow Tweed
Tod,Mickey Rooney,The Fox and the Hound,1982:Honorary Award:nan,./images/character/Tod
Chief,Pat Buttram,The Fox and the Hound,,./images/character/Chief
Boomer,Paul Winchell,The Fox and the Hound,,./images/character/Boomer
Big Mama,Pearl Bailey,The Fox and the Hound,,./images/character/Big Mama
Dinky,Richard Bakalyan,The Fox and the Hound,,./images/character/Dinky
Vixey,Sandy Duncan,The Fox and the Hound,,./images/character/Vixey
Nash,A.J. Buckley,The Good Dinosaur,,./images/character/Nash
Ramsey,Anna Paquin,The Good Dinosaur,1993:Actress in a Supporting Role:The Piano,./images/character/Ramsey
Spot,Jack Bright,The Good Dinosaur,,./images/character/Spot
Arlo,Raymond Ochoa,The Good Dinosaur,,./images/character/Arlo
Butch,Sam Elliott,The Good Dinosaur,,./images/character/Butch
Thunderclap,Steve Zahn,The Good Dinosaur,,./images/character/Thunderclap
Hiram Flaversham,Alan Young,The Great Mouse Detective,,./images/character/Hiram Flaversham
Bartholomew,Barrie Ingham,The Great Mouse Detective,,./images/character/Bartholomew
Basil of Baker Street,Barrie Ingham,The Great Mouse Detective,,./images/character/Basil of Baker Street
Fidget,Candy Candido,The Great Mouse Detective,,./images/character/Fidget
Mrs Judson,Diana Chesney,The Great Mouse Detective,,./images/character/Mrs Judson
Queen Mousetoria,Eve Brenner,The Great Mouse Detective,,./images/character/Queen Mousetoria
Toby the Dog,Frank Welker,The Great Mouse Detective,,./images/character/Toby the Dog
Olivia Flaversham,Susanne Pollatschek,The Great Mouse Detective,,./images/character/Olivia Flaversham
Dr David Q Dawson,Val Bettin,The Great Mouse Detective,,./images/character/Dr David Q Dawson
Professor Ratigan,Vincent Price,The Great Mouse Detective,,./images/character/Professor Ratigan
Victor,Charles Kimbrough,The Hunchback of Notre Dame,,./images/character/Victor
The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame,,./images/character/The Archdeacon
Esmeralda,Demi Moore,The Hunchback of Notre Dame,,./images/character/Esmeralda
Hugo,Jason Alexander,The Hunchback of Notre Dame,,./images/character/Hugo
Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame,1988:Actor in a Supporting Role:A Fish Called Wanda,./images/character/Captain Phoebus
Laverne,Mary Wickes,The Hunchback of Notre Dame,,./images/character/Laverne
Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame,,./images/character/Clopin Trouillefou
Quasimodo,Tom Hulce,The Hunchback of Notre Dame,,./images/character/Quasimodo
Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame,,./images/character/Judge Claude Frollo
Bob Parr (Mr Incredible),Craig T. Nelson,The Incredibles,,./images/character/Bob Parr Mr Incredible
Helen Parr (Elastigirl),Holly Hunter,The Incredibles,1993:Actress in a Leading Role:The Piano,./images/character/Helen Parr Elastigirl
Buddy Pine (Syndrome),Jason Lee,The Incredibles,,./images/character/Buddy Pine Syndrome
Lucius Best (Frozone),Samuel L. Jackson,The Incredibles,,./images/character/Lucius Best Frozone
Violet Parr,Sarah Vowell,The Incredibles,,./images/character/Violet Parr
Dash Parr,Spencer Fox,The Incredibles,,./images/character/Dash Parr
Mowgli,Bruce Reitherman,The Jungle Book,,./images/character/Mowgli
Shere Khan,George Sanders,The Jungle Book,1950:Actor in a Supporting Role:All about Eve,./images/character/Shere Khan
Buzzie the Vulture,J. Pat O'Malley,The Jungle Book,,./images/character/Buzzie the Vulture
Colonel Hathi,J. Pat O'Malley,The Jungle Book,,./images/character/Colonel Hathi
King Louie,Louis Prima,The Jungle Book,,./images/character/King Louie
Baloo Bear,Phil Harris,The Jungle Book,,./images/character/Baloo Bear
Bagheera,Sebastian Cabot,The Jungle Book,,./images/character/Bagheera
Kaa,Sterling Holloway,The Jungle Book,,./images/character/Kaa
Winifred the Elephant,Verna Felton,The Jungle Book,,./images/character/Winifred the Elephant
Banzai,Cheech Marin,The Lion King,,./images/character/Banzai
Pumbaa,Ernie Sabella,The Lion King,,./images/character/Pumbaa
Mufasa,James Earl Jones,The Lion King,2011:Honorary Award:nan,./images/character/Mufasa
Scar,Jeremy Irons,The Lion King,1990:Actor in a Leading Role:Reversal of Fortune,./images/character/Scar
Ed,Jim Cummings,The Lion King,,./images/character/Ed
young Simba,Jonathan Taylor Thomas,The Lion King,,./images/character/young Simba
Simba,Matthew Broderick,The Lion King,,./images/character/Simba
Nala,Moira Kelly,The Lion King,,./images/character/Nala
Timon,Nathan Lane,The Lion King,,./images/character/Timon
Rafiki,Robert Guillaume,The Lion King,,./images/character/Rafiki
Zazu,Rowan Atkinson,The Lion King,,./images/character/Zazu
Shenzi,Whoopi Goldberg,The Lion King,1990:Actress in a Supporting Role:Ghost,./images/character/Shenzi
Grimsby,Ben Wright,The Little Mermaid,,./images/character/Grimsby
Scuttle,Buddy Hackett,The Little Mermaid,,./images/character/Scuttle
Prince Eric,Christopher Daniel Barnes,The Little Mermaid,,./images/character/Prince Eric
Max the Sheepdog,Frank Welker,The Little Mermaid,,./images/character/Max the Sheepdog
Flounder,Jason Marin,The Little Mermaid,,./images/character/Flounder
Ariel,Jodi Benson,The Little Mermaid,,./images/character/Ariel
King Triton,Kenneth Mars,The Little Mermaid,,./images/character/King Triton
Alana,Kimmy Robertson,The Little Mermaid,,./images/character/Alana
Flotsam and Jetsam,Paddi Edwards,The Little Mermaid,,./images/character/Flotsam and Jetsam
Ursula,Pat Carroll,The Little Mermaid,,./images/character/Ursula
Sebastian,Samuel E. Wright,The Little Mermaid,,./images/character/Sebastian
Winnie the Pooh,Sterling Holloway,The Many Adventures of Winnie the Pooh,,./images/character/Winnie the Pooh
Tigger,Paul Winchell,The Many Adventures of Winnie the Pooh,,./images/character/Tigger
Rabbit,Junius Matthews,The Many Adventures of Winnie the Pooh,,./images/character/Rabbit
Piglet,John Fiedler,The Many Adventures of Winnie the Pooh,,./images/character/Piglet
Kanga,Barbara Luddy,The Many Adventures of Winnie the Pooh,,./images/character/Kanga
Roo,Clint Howard,The Many Adventures of Winnie the Pooh,,./images/character/Roo
Owl,Hal Smith,The Many Adventures of Winnie the Pooh,,./images/character/Owl
Gopher,Howard Morris,The Many Adventures of Winnie the Pooh,,./images/character/Gopher
Eeyore,Ralph Wright,The Many Adventures of Winnie the Pooh,,./images/character/Eeyore
Christopher Robin,Bruce Reitherman,The Many Adventures of Winnie the Pooh,,./images/character/Christopher Robin
Tiana,Anika Noni Rose,The Princess and the Frog,,./images/character/Tiana
Prince Naveen,Bruno Campos,The Princess and the Frog,,./images/character/Prince Naveen
Mama Odie,Jenifer Lewis,The Princess and the Frog,,./images/character/Mama Odie
Charlotte La Bouff,Jennifer Cody,The Princess and the Frog,,./images/character/Charlotte La Bouff
Ray the Firefly,Jim Cummings,The Princess and the Frog,,./images/character/Ray the Firefly
Eli 'Big Daddy' La Bouff,John Goodman,The Princess and the Frog,,./images/character/Eli Big Daddy La Bouff
Dr Facilier,Keith David,The Princess and the Frog,,./images/character/Dr Facilier
Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog,,./images/character/Louis the Alligator
Eudora,Oprah Winfrey,The Princess and the Frog,2011:Jean Hersholt Humanitarian Award:nan,./images/character/Eudora
Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon,,./images/character/Tobias the Reluctant Dragon
Sir Giles,Claud Allister,The Reluctant Dragon,,./images/character/Sir Giles
Bernard,Bob Newheart,The Rescuers,,./images/character/Bernard
Miss Bianca,Eva Gabor,The Rescuers,,./images/character/Miss Bianca
Madame Medusa,Geraldine Page,The Rescuers,1985:Actress in a Leading Role:The Trip to Bountiful,./images/character/Madame Medusa
Ellie Mae,Jeanette Nolan,The Rescuers,,./images/character/Ellie Mae
Orville,Jim Jordan,The Rescuers,,./images/character/Orville
Mr Snoops,Joe Flynn,The Rescuers,,./images/character/Mr Snoops
Rufus,John McIntire,The Rescuers,,./images/character/Rufus
Penny,Michelle Stacy,The Rescuers,,./images/character/Penny
Luke,Pat Buttram,The Rescuers,,./images/character/Luke
Cody,Adam Ryen,The Rescuers Down Under,,./images/character/Cody
Faloo,Carla Meyer,The Rescuers Down Under,,./images/character/Faloo
Krebbs,Douglas Seale,The Rescuers Down Under,,./images/character/Krebbs
Marahute,Frank Welker,The Rescuers Down Under,,./images/character/Marahute
Percival C McLeach,George C. Scott,The Rescuers Down Under,1970:Actor:Patton,./images/character/Percival C McLeach
Wilbur,John Candy,The Rescuers Down Under,,./images/character/Wilbur
Jake,Tristan Rogers,The Rescuers Down Under,,./images/character/Jake
Sir Pellinore,Alan Napier,The Sword in the Stone,,./images/character/Sir Pellinore
Archimedes,Junius Matthews,The Sword in the Stone,,./images/character/Archimedes
Merlin,Karl Swenson,The Sword in the Stone,,./images/character/Merlin
Madam Mim,Martha Wentworth,The Sword in the Stone,,./images/character/Madam Mim
Sir Kay,Norman Alden,The Sword in the Stone,,./images/character/Sir Kay
Arthur Pendragon,Richard Reitherman,The Sword in the Stone,,./images/character/Arthur�Pendragon
Arthur Pendragon,Rickie Sorensen,The Sword in the Stone,,./images/character/Arthur�Pendragon
Arthur Pendragon,Robert Reitherman,The Sword in the Stone,,./images/character/Arthur�Pendragon
Sir Ector,Sebastian Cabot,The Sword in the Stone,,./images/character/Sir Ector
Black Bart,Thurl Ravenscroft,The Sword in the Stone,,./images/character/Black Bart
Panchito Pistoles,Joaquin Garay,The Three Caballeros,,./images/character/Panchito Pistoles
Aracuan Bird,Pinto Colvig,The Three Caballeros,,./images/character/Aracuan Bird
Donald Duck,Clarence Nash,The Three Caballeros,,./images/character/Donald Duck
Jose Oliveira,Jose Carioca,The Three Caballeros,,./images/character/Jose Oliveira
Mr Potato Head,Don Rickles,Toy Story,,./images/character/Mr Potato Head
Slinky Dog,Jim Varney,Toy Story,,./images/character/Slinky Dog
Rex,Wallace Shawn,Toy Story,,./images/character/Rex
Buzz Lightyear,Tim Allen,Toy Story,,./images/character/Buzz Lightyear
Woody,Tom Hanks,Toy Story,1993:Actor in a Leading Role:Philadelphia;1994:Actor in a Leading Role:Forrest Gump,./images/character/Woody
Mr Potato Head,Don Rickles,Toy Story 2,,./images/character/Mr Potato Head
Jessie,Joan Cusak,Toy Story 2,,./images/character/Jessie
Stinky Pete the Prospector,Kelsey Grammer,Toy Story 2,,./images/character/Stinky Pete the Prospector
Buzz Lightyear,Tim Allen,Toy Story 2,,./images/character/Buzz Lightyear
Woody,Tom Hanks,Toy Story 2,1993:Actor in a Leading Role:Philadelphia;1994:Actor in a Leading Role:Forrest Gump,./images/character/Woody
Mr Potato Head,Don Rickles,Toy Story 3,,./images/character/Mr Potato Head
Jessie,Joan Cusak,Toy Story 3,,./images/character/Jessie
Lotso,Ned Beatty,Toy Story 3,,./images/character/Lotso
Buzz Lightyear,Tim Allen,Toy Story 3,,./images/character/Buzz Lightyear
Woody,Tom Hanks,Toy Story 3,1993:Actor in a Leading Role:Philadelphia;1994:Actor in a Leading Role:Forrest Gump,./images/character/Woody
John Silver,Brian Murray,Treasure Planet,,./images/character/John Silver
Onus,Corey Burton,Treasure Planet,,./images/character/Onus
Morph,Dane A. Davis,Treasure Planet,1999:Sound Effects Editing:The Matrix ,./images/character/Morph
Dr Doppler,David Hyde Pierce,Treasure Planet,,./images/character/Dr Doppler
Captain Amelia,Emma Thompson,Treasure Planet,1992:Actress in a Leading Role:Howards End;1995:Writing (Screenplay Based on Material Previously Produced or Published):Sense and Sensibility ,./images/character/Captain Amelia
Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet,,./images/character/Jim Hawkins
Sarah Hawkins,Laurie Metcalf,Treasure Planet,,./images/character/Sarah Hawkins
BEN,Martin Short,Treasure Planet,,./images/character/BEN
Scroop,Michael Wincott,Treasure Planet,,./images/character/Scroop
Dug,Bob Peterson,Up,,./images/character/Dug
Charles F Muntz,Christopher Plummer,Up,2011:Actor in a Supporting Role:Beginners,./images/character/Charles F Muntz
Carl Fredricksen,Ed Asner,Up,,./images/character/Carl Fredricksen
Russell,Jordan Nagai,Up,,./images/character/Russell
Kevin,Pete Docter,Up,,./images/character/Kevin
WALL-E,Ben Burtt,WALL-E,,./images/character/WALL-E
EVE,Elissa Knight,WALL-E,,./images/character/EVE
Captain B McCrea,Jeff Garlin,WALL-E,,./images/character/Captain B McCrea
Winnie the Pooh,Jim Cummings,Winnie the Pooh,,./images/character/Winnie the Pooh
Tigger,Jim Cummings,Winnie the Pooh,,./images/character/Tigger
Eeyore,Bud Luckey,Winnie the Pooh,,./images/character/Eeyore
Owl,Craig Ferguson,Winnie the Pooh,,./images/character/Owl
Christopher Robin,Jack Boulter,Winnie the Pooh,,./images/character/Christopher Robin
Rabbit,Tom Kenny,Winnie the Pooh,,./images/character/Rabbit
Kanga,Kristen Anderson Lopez,Winnie the Pooh,,./images/character/Kanga
Roo,Wyatt Dean Hall,Winnie the Pooh,,./images/character/Roo
Backson,Huell Howser,Winnie the Pooh,,./images/character/Backson
Wynchel,Adam Carolla,Wreck-It Ralph,,./images/character/Wynchel
King Candy,Alan Tudyk,Wreck-It Ralph,,./images/character/King Candy
Mr Litwak,Ed O'Neill,Wreck-It Ralph,,./images/character/Mr Litwak
Sergeant Calhoun,Jane Lynch,Wreck-It Ralph,,./images/character/Sergeant Calhoun
Markowski,Joe Lo Truglio,Wreck-It Ralph,,./images/character/Markowski
Wreck-It Ralph,John C. Reilly,Wreck-It Ralph,,./images/character/Wreck-It Ralph
Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph,,./images/character/Taffyta Muttonfudge
Sour Bill,Rich Moore,Wreck-It Ralph,,./images/character/Sour Bill
Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph,,./images/character/Vanellope von Schweetz
Duke Weaselton,Alan Tudyk,Zootopia,,./images/character/Duke Weaselton
Bonnie Hopps,Bonnie Hunt,Zootopia,,./images/character/Bonnie Hopps
Stu Hopps,Don Lake,Zootopia,,./images/character/Stu Hopps
Judy Hopps,Ginnifer Goodwin,Zootopia,,./images/character/Judy Hopps
Chief Bogo,Idris Elba,Zootopia,,./images/character/Chief Bogo
Mayor Lionheart,J.K. Simmons,Zootopia,2014:Actor in a Supporting Role:Whiplash,./images/character/Mayor Lionheart
Nick P Wilde,Jason Bateman,Zootopia,,./images/character/Nick P Wilde
Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia,,./images/character/Assistant Mayor Dawn Bellwether
Benjamin Clawhauser,Nate Torrence,Zootopia,,./images/character/Benjamin Clawhauser
Mrs Otterton,Octavia Spencer,Zootopia,2011:Actress in a Supporting Role:The Help,./images/character/Mrs Otterton
Yax,Tommy Chong,Zootopia,,./images/character/Yax
